ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_h2_price,strict_marginal_vs_6p5,retain_low_return,raw_npv_colocated_6p5_pass,raw_npv_independent_h2_8_pass,reach_colocated_6p5,reach_independent_h2_8,npv_low_100m_cny,npv_colocated_6p5_100m_cny
W7495,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.23412990627241012,0.13203813138867695
W7498,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.15356645319585824,0.10353879510682622
W7500,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.37023925883279063,-0.13301042284910145
W7502,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.018143358045750405,-0.006294044824531491
W7504,四川,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.2095990827318946,-0.08471152161801312
W7505,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.22589269205740287,-0.11022119063015284
W7507,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3856659025607962,-0.13855252890836864
W7508,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.23412990627241012,0.13203813138867695
W7509,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.00472642136592005,-0.0016396253174315834
W7511,四川,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4556501705579682,-0.18415547740507834
W7512,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.29507768908474896,0.1708024757592684
W7514,山西,风电,full_output_upper_bound,12.0,False,False,True,True,False,False,-0.14933458667811117,0.026158586095801954
W7515,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3414158218548007,-0.09049287567667999
W7516,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.23412990627241012,0.13203813138867695
W7518,四川,风电,full_output_upper_bound,12.0,True,False,False,False,False,False,-0.19647268545086474,-0.08623210527131446
W7519,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.05286440428343828,-0.023706367692756164
W7520,山西,风电,full_output_upper_bound,12.0,False,False,True,True,False,False,-0.14933458667811117,0.026158586095801954
W7521,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.6897289807079476,-0.18281391655407686
W7522,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.23412990627241012,0.13203813138867695
W7523,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.0076232596130777356,-0.00264455663450433
W7525,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.03524294099135833,-0.015804247650723132
W7526,四川,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4771038758282609,-0.20899446614023662
W7527,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.38958396953500407,-0.14421784756574604
W7530,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.017621470573297444,-0.007902123862847886
W7532,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.29507768908474896,0.1708024757592684
W7533,四川,风电,full_output_upper_bound,12.0,True,False,False,False,False,False,-0.2467911479925397,-0.11140099271701477
W7534,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4655958248747602,-0.18384114104636662
W7535,山西,风电,full_output_upper_bound,12.0,False,False,True,True,False,False,-0.1860708877820443,0.032593602844368845
W7536,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.6212051125933306,-0.2677253836553081
W7537,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.0348905066340283,-0.015646202474229782
W7539,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.0076232596130777356,-0.00264455663450433
W7540,四川,风电,full_output_upper_bound,12.0,True,False,False,False,False,False,-0.2742123814283104,-0.12377887798916513
W7541,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.29507768908474896,0.1708024757592684
W7543,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.36019399487545317,-0.12902128195376092
W7544,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.20910829702487563,-0.08322963756899265
W7545,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.23412990627241012,0.13203813138867695
W7546,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.2720792627169494,0.15504578825793414
W7547,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.0076232596130777356,-0.00264455663450433
W7548,四川,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4771038758282609,-0.20899446614023662
W7552,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.1315929378058689,0.07075037259081092
W7554,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.15356645319585824,0.10353879510682622
W7557,四川,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.39758656162874134,-0.17416205431515325
W7559,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.19738944968187191,0.10612558377772616
W756,广东,风电,full_output_upper_bound,12.0,True,False,False,False,False,False,-0.33656435056466416,-0.12995312225707206
W7560,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.23412990627241012,0.13203813138867695
W7562,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.36019399487545317,-0.12902128195376092
W7564,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.9311916448529783,-0.36768227917193747
W7565,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.02077134238898367,-0.01066364535925934
