learning_case,central_component_case,year,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,nonstack_equipment_share_of_installed_capex,bop_epc_share_of_installed_capex,stack_embodied_newbuild_capital_saving_share,nonstack_equipment_newbuild_capital_saving_share,bop_epc_newbuild_capital_saving_share,total_newbuild_capital_saving_share,incumbent_stack_embodied_share_of_newbuild_capital_saving
base,False,2060,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2026,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.0,0.0,
base,False,2027,0.5,0.5,0.25,0.25,0.5,0.09949294324786107,0.09949294324786107,0.08523889238853533,0.28422477888425746,0.3500502089875027
base,False,2028,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.09941652637300585,0.32441652637300583,0.3467764150543008
base,False,2029,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.10874621846861265,0.33374621846861263,0.33708247097511346
base,False,2030,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.11566665012648902,0.340666650126489,0.3302348496931793
base,False,2031,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.12511806609112414,0.3501180660911241,0.321320179949583
base,False,2032,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.13202547152629818,0.35702547152629815,0.3151035681545577
base,False,2033,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.13744942872632931,0.3624494287263293,0.3103881288910628
base,False,2034,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.14190372596657924,0.3669037259665792,0.30661994424730227
base,False,2035,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.14567579530237512,0.3706757953023751,0.3034997197705592
base,False,2036,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.1489424461381953,0.3739424461381953,0.3008484358002626
base,False,2037,0.5,0.5,0.25,0.25,0.5,0.11249999999999999,0.11249999999999999,0.1518200584802583,0.3768200584802583,0.2985509859897596
